Id,LotArea,Street,SalePrice,Neighborhood,YearBuilt,OverallQual,OverallCond,KitchenQual
101,10603,Pave,205000,NWAmes,1977,6,7,Gd
102,9206,Pave,178000,SawyerW,1985,6,5,Gd
103,7018,Pave,118964,SawyerW,1979,5,5,TA
104,10402,Pave,198900,CollgCr,2009,7,5,Gd
105,7758,Pave,169500,IDOTRR,1931,7,4,TA
106,9375,Pave,250000,Somerst,2003,8,5,Gd
107,10800,Pave,100000,OldTown,1885,4,7,TA
108,6000,Pave,115000,OldTown,1948,5,5,TA
109,8500,Pave,115000,IDOTRR,1919,5,7,Fa
110,11751,Pave,190000,NWAmes,1977,6,6,TA
111,9525,Pave,136900,Edwards,1954,6,4,TA
112,7750,Pave,180000,Gilbert,2000,7,5,TA
113,9965,Pave,383970,CollgCr,2007,7,5,Ex
114,21000,Pave,217000,Crawfor,1953,6,5,Gd
115,7259,Pave,259500,Crawfor,1945,6,8,Gd
116,3230,Pave,176000,Somerst,1999,6,5,TA
117,11616,Pave,139000,Sawyer,1962,5,5,TA
118,8536,Pave,155000,Edwards,2006,5,5,TA
119,12376,Pave,320000,SawyerW,1990,7,5,Gd
120,8461,Pave,163990,CollgCr,2005,6,5,Gd
121,21453,Pave,180000,ClearCr,1969,6,5,TA
122,6060,Pave,100000,IDOTRR,1939,4,5,TA
123,9464,Pave,136000,NAmes,1958,6,7,TA
124,7892,Pave,153900,SawyerW,1993,6,5,Gd
125,17043,Pave,181000,NWAmes,1979,6,5,TA
126,6780,Pave,84500,IDOTRR,1935,6,8,TA
127,4928,Pave,128000,NPkVill,1976,6,5,TA
128,4388,Pave,87000,OldTown,1930,5,7,TA
129,7590,Pave,155000,NAmes,1966,6,5,TA
130,8973,Pave,150000,NAmes,1958,5,7,Ex
131,14200,Pave,226000,NAmes,1966,7,6,Gd
132,12224,Pave,244000,Gilbert,2000,6,5,Gd
133,7388,Pave,150750,NAmes,1959,5,6,Gd
134,6853,Pave,220000,Timber,2001,8,5,Gd
135,10335,Pave,180000,Sawyer,1968,5,6,TA
136,10400,Pave,174000,NWAmes,1970,7,6,TA
137,10355,Pave,143000,NAmes,1967,5,5,TA
138,11070,Pave,171000,Mitchel,1988,7,5,TA
139,9066,Pave,230000,CollgCr,1999,8,5,Gd
140,15426,Pave,231500,CollgCr,1997,6,5,Gd
141,10500,Pave,115000,NAmes,1971,4,5,TA
142,11645,Pave,260000,CollgCr,2005,7,5,Gd
143,8520,Pave,166000,NAmes,1952,5,4,TA
144,10335,Pave,204000,CollgCr,1999,7,5,Gd
145,9100,Pave,125000,Sawyer,1963,5,5,TA
146,2522,Pave,130000,Edwards,2004,6,5,Gd
147,6120,Pave,105000,BrkSide,1931,5,7,TA
148,9505,Pave,222500,Gilbert,2001,7,5,Gd
149,7500,Pave,141000,SawyerW,2004,7,5,Gd
150,6240,Pave,115000,BrkSide,1936,5,4,TA
151,10356,Pave,122000,CollgCr,1975,5,6,TA
152,13891,Pave,372402,NridgHt,2007,8,5,Gd
153,14803,Pave,190000,NWAmes,1971,6,5,TA
154,13500,Pave,235000,ClearCr,1960,6,7,TA
155,11340,Pave,125000,OldTown,1923,6,5,TA
156,9600,Pave,79000,Edwards,1924,6,5,TA
157,7200,Pave,109500,NAmes,1950,5,7,TA
158,12003,Pave,269500,Timber,2009,8,5,Ex
159,12552,Pave,254900,Somerst,2004,7,5,Gd
160,19378,Pave,320000,Gilbert,2005,7,5,Gd
161,11120,Pave,162500,Veenker,1984,6,6,TA
162,13688,Pave,412500,NridgHt,2003,9,5,Ex
163,12182,Pave,220000,NridgHt,2005,7,5,Gd
164,5500,Pave,103200,OldTown,1956,4,6,TA
165,5400,Pave,152000,OldTown,1926,6,7,Gd
166,10106,Pave,127500,Edwards,1940,5,7,TA
167,10708,Pave,190000,ClearCr,1955,5,5,TA
168,10562,Pave,325624,NridgHt,2007,8,5,Ex
169,8244,Pave,183500,Gilbert,2004,7,5,Gd
170,16669,Pave,228000,Timber,1981,8,6,TA
171,12358,Pave,128500,OldTown,1941,5,6,TA
172,31770,Pave,215000,NAmes,1960,6,5,TA
173,5306,Pave,239000,StoneBr,1987,7,7,Gd
174,10197,Pave,163000,NAmes,1961,6,5,TA
175,12416,Pave,184000,Timber,1986,6,5,TA
176,12615,Pave,243000,Edwards,1950,6,7,Gd
177,10029,Pave,211000,ClearCr,1988,6,5,TA
178,13650,Pave,172500,Sawyer,1958,5,5,Gd
179,17423,Pave,501837,StoneBr,2008,9,5,Ex
180,8520,Pave,100000,OldTown,1923,5,6,TA
181,2117,Pave,177000,Somerst,2000,6,5,Gd
182,7588,Pave,200100,Crawfor,1920,7,6,TA
183,9060,Pave,120000,Edwards,1957,5,6,TA
184,11426,Pave,200000,OldTown,2003,7,5,Gd
185,7438,Pave,127000,BrkSide,1908,5,8,TA
186,22950,Pave,475000,OldTown,1892,10,9,Ex
187,9947,Pave,173000,Mitchel,1990,7,5,Gd
188,10410,Pave,135000,OldTown,1916,5,7,TA
189,7018,Pave,153337,SawyerW,1979,5,5,TA
190,4923,Pave,286000,StoneBr,2001,8,5,Ex
191,10570,Pave,315000,Crawfor,1932,8,8,Gd
192,7472,Pave,184000,NAmes,1972,7,9,Gd
193,9017,Pave,192000,CollgCr,1999,7,5,Gd
194,2522,Pave,130000,Edwards,2004,7,5,Gd
195,7180,Pave,127000,CollgCr,1972,5,7,TA
196,2280,Pave,148500,NPkVill,1976,6,6,TA
197,9416,Pave,311872,Somerst,2007,7,5,Ex
198,25419,Pave,235000,NAmes,1918,8,4,Gd
199,5520,Pave,104000,OldTown,1912,6,6,TA
200,9591,Pave,274900,NridgHt,2004,8,5,Ex
201,8546,Pave,140000,Edwards,2003,4,5,TA
202,10125,Pave,171500,Mitchel,1977,6,6,TA
203,7000,Pave,112000,OldTown,1924,6,6,TA
204,4438,Pave,149000,CollgCr,2004,6,5,Gd
205,3500,Pave,110000,OldTown,1947,5,7,TA
206,11851,Pave,180500,Gilbert,1990,7,5,TA
207,13673,Pave,143900,Sawyer,1962,5,5,TA
208,12493,Pave,141000,NAmes,1960,4,5,TA
209,14364,Pave,277000,SawyerW,1988,7,5,TA
210,8250,Pave,145000,NAmes,1964,6,7,TA
211,5604,Pave,98000,Edwards,1925,5,6,TA
212,10420,Pave,186000,Edwards,2009,6,5,Gd
213,8640,Pave,252678,Somerst,2009,7,5,Gd
214,13568,Pave,156000,CollgCr,1995,5,5,TA
215,10900,Pave,161750,CollgCr,1977,6,7,TA
216,10011,Pave,134450,NAmes,1957,5,6,Gd
217,8450,Pave,210000,CollgCr,2004,7,5,Gd
218,9906,Pave,107000,OldTown,1925,4,4,TA
219,15660,Pave,311500,Crawfor,1939,7,9,Gd
220,3010,Pave,167240,Blmngtn,2005,7,5,Gd
221,8990,Pave,204900,CollgCr,2006,7,5,Gd
222,8068,Pave,200000,Gilbert,2002,6,5,Gd
223,11475,Pave,179900,NWAmes,1975,6,6,TA
224,10500,Pave,97000,NAmes,1971,4,6,TA
225,13472,Pave,386250,NridgHt,2003,10,5,Ex
226,1680,Pave,112000,BrDale,1971,5,5,TA
227,9950,Pave,290000,NoRidge,1995,7,5,Gd
228,1869,Pave,106000,BrDale,1970,6,6,TA
229,8521,Pave,125000,Sawyer,1967,5,5,TA
230,3182,Pave,192500,Blmngtn,2005,7,5,Gd
231,8760,Pave,148000,NAmes,1959,6,6,TA
232,15138,Pave,403000,NoRidge,1995,8,5,Ex
233,1680,Pave,94500,BrDale,1972,6,5,TA
234,10650,Pave,128200,CollgCr,1976,5,6,TA
235,7851,Pave,216500,Gilbert,2002,6,5,Gd
236,1680,Pave,89500,BrDale,1971,6,3,TA
237,8773,Pave,185500,CollgCr,2004,7,5,Gd
238,9453,Pave,194500,SawyerW,1993,7,7,Gd
239,12030,Pave,318000,NridgHt,2007,8,5,Gd
240,8741,Pave,113000,Edwards,1945,6,4,TA
241,9000,Pave,262500,Somerst,2008,8,5,Gd
242,3880,Pave,110500,OldTown,1945,5,9,Gd
243,5000,Pave,79000,OldTown,1900,5,4,TA
244,10762,Pave,120000,SawyerW,1980,6,6,TA
245,8880,Pave,205000,SawyerW,1994,7,5,Gd
246,10400,Pave,241500,NWAmes,1988,7,5,TA
247,9142,Pave,137000,OldTown,1910,6,8,Fa
248,11310,Pave,140000,NAmes,1954,6,5,TA
249,11317,Pave,180000,CollgCr,2003,7,5,Gd
250,159000,Pave,277000,ClearCr,1958,6,7,Gd
251,5350,Pave,76500,BrkSide,1940,3,2,Fa
252,4750,Pave,235000,Crawfor,2006,8,5,Gd
253,8366,Pave,173000,SawyerW,2004,6,5,Gd
254,9350,Pave,158000,NAmes,1964,6,7,Gd
255,8400,Pave,145000,NAmes,1957,5,6,TA
256,8738,Pave,230000,Gilbert,1999,7,5,Gd
257,8791,Pave,207500,Somerst,2003,6,5,Gd
258,8814,Pave,220000,CollgCr,2006,7,5,Gd
259,12435,Pave,231500,CollgCr,2001,7,5,Gd
